,phase,w,mag
457,-1.5813895921103234,4574.628828828829,0.012251004735937062
458,-1.5814174822754012,4584.6387387387385,0.01222424957244213
459,-1.5814453618184914,4594.648648648649,0.01219761172842854
460,-1.5814732308215962,4604.658558558559,0.012171090433837723
461,-1.5815010893659351,4614.668468468469,0.012144684925346661
462,-1.5815289375319506,4624.6783783783785,0.012118394446294221
463,-1.5815567753993276,4634.688288288288,0.012092218246608489
464,-1.5815846030469893,4644.698198198198,0.01206615558273518
465,-1.581612420553119,4654.708108108109,0.012040205717566805
466,-1.5816402279951622,4664.7180180180185,0.012014367920372956
467,-1.5816680254498034,4674.727927927928,0.011988641466731205
468,-1.5816958129930707,4684.737837837838,0.011963025638459232
469,-1.5817235907002167,4694.747747747748,0.011937519723547606
470,-1.5817513586458432,4704.757657657658,0.01191212301609355
471,-1.5817791169038153,4714.767567567568,0.011886834816235415
472,-1.5818068655473343,4724.777477477478,0.011861654430088209
473,-1.5818346046489367,4734.787387387388,0.011836581169679785
474,-1.5818623342804508,4744.7972972972975,0.011811614352887858
475,-1.581890054513081,4754.807207207207,0.011786753303377969
476,-1.5819177654173597,4764.817117117117,0.011761997350542005
477,-1.5819454670631627,4774.827027027027,0.011737345829437737
478,-1.581973159519752,4784.8369369369375,0.011712798080728974
479,-1.5820008428557444,4794.846846846847,0.011688353450626509
480,-1.5820285171391284,4804.856756756757,0.011664011290829867
481,-1.5820561824372816,4814.866666666667,0.011639770958469688
482,-1.582083838816977,4824.876576576577,0.0116156318160509
483,-1.5821114863443764,4834.886486486486,0.011591593231396677
484,-1.5821391250850592,4844.896396396397,0.011567654577592826
485,-1.582166755103991,4854.906306306307,0.011543815232933283
486,-1.5821943764655864,4864.9162162162165,0.011520074580865918
487,-1.5822219892336629,4874.926126126126,0.011496432009939193
488,-1.582249593471477,4884.936036036036,0.011472886913749463
489,-1.5822771892417309,4894.945945945946,0.01144943869088892
490,-1.5823047766065492,4904.9558558558565,0.011426086744894152
491,-1.5823323556275433,4914.965765765766,0.011402830484195397
492,-1.582359926365738,4924.975675675676,0.011379669322066396
493,-1.5823874888816623,4934.985585585586,0.011356602676574762
494,-1.5824150432352841,4944.995495495496,0.011333629970533169
495,-1.5824425894860588,4955.005405405405,0.011310750631450959
496,-1.5824701276929283,4965.015315315315,0.011287964091486424
497,-1.582497657914309,4975.025225225226,0.011265269787399591
498,-1.5825251802081242,4985.0351351351355,0.01124266716050572
499,-1.5825526946317774,4995.045045045045,0.011220155656629215
500,-1.5825802012421935,5005.054954954955,0.011197734726058227
501,-1.5826077000958103,5015.064864864865,0.01117540382349963
502,-1.5826351912485566,5025.074774774775,0.0111531624080348
503,-1.5826626747558932,5035.084684684685,0.011131009943075663
504,-1.5826901506728206,5045.094594594595,0.011108945896321429
505,-1.5827176190538486,5055.104504504505,0.01108696973971578
506,-1.582745079953041,5065.114414414415,0.011065080949404624
507,-1.58277253342399,5075.124324324324,0.011043279005694307
508,-1.5827999795198375,5085.134234234234,0.011021563393010305
509,-1.5828274182932753,5095.144144144145,0.010999933599856513
510,-1.5828548497965682,5105.1540540540545,0.01097838911877488
511,-1.5828822740815045,5115.163963963964,0.010956929446305599
512,-1.5829096911994742,5125.173873873874,0.010935554082947782
513,-1.5829371012014353,5135.183783783784,0.010914262533120547
514,-1.582964504137881,5145.193693693694,0.010893054305124604
515,-1.5829919000589328,5155.203603603603,0.010871928911104252
516,-1.5830192890142765,5165.213513513514,0.010850885867009878
517,-1.583046671053174,5175.223423423424,0.010829924692560862
518,-1.5830740462245012,5185.233333333334,0.010809044911208923
519,-1.583101414576724,5195.243243243243,0.010788246050101834
520,-1.583128776157899,5205.253153153153,0.010767527640047667
521,-1.5831561310157072,5215.263063063063,0.010746889215479397
522,-1.5831834791974277,5225.272972972974,0.010726330314419932
523,-1.5832108207499413,5235.282882882883,0.010705850478447465
524,-1.5832381557197766,5245.292792792793,0.010685449252661355
525,-1.5832654841530769,5255.302702702703,0.010665126185648344
526,-1.583292806095588,5265.312612612613,0.010644880829449139
527,-1.5833201215927046,5275.322522522522,0.010624712739525378
528,-1.5833474306894602,5285.332432432433,0.010604621474727094
529,-1.5833747334305122,5295.342342342343,0.010584606597260316
530,-1.5834020298601688,5305.352252252253,0.01056466767265528
531,-1.583429320022382,5315.362162162162,0.010544804269734828
532,-1.5834566039607496,5325.372072072072,0.010525015960583351
533,-1.5834838817185177,5335.381981981982,0.010505302320515827
534,-1.5835111533386106,5345.391891891892,0.010485662928047456
535,-1.5835384188635844,5355.401801801802,0.010466097364863479
536,-1.58356567833568,5365.411711711712,0.010446605215789453
537,-1.5835929317967812,5375.421621621622,0.010427186068761751
538,-1.5836201792884672,5385.431531531532,0.010407839514798489
539,-1.5836474208519797,5395.441441441441,0.010388565147970673
540,-1.5836746565282331,5405.451351351351,0.010369362565373828
541,-1.583701886357835,5415.461261261262,0.010350231367099743
542,-1.583729110381056,5425.471171171172,0.010331171156208728
543,-1.583756328637872,5435.481081081081,0.010312181538702034
544,-1.5837835411679364,5445.490990990991,0.010293262123494646
545,-1.5838107480106072,5455.500900900901,0.01027441252238839
546,-1.5838379492049357,5465.510810810811,0.010255632350045282
547,-1.5838651447896506,5475.520720720721,0.010236921223961228
548,-1.5838923348032192,5485.530630630631,0.010218278764439976
549,-1.5839195192837907,5495.540540540541,0.010199704594567404
550,-1.5839466982692192,5505.550450450451,0.010181198340185974
551,-1.5839738717970835,5515.56036036036,0.010162759629869669
552,-1.5840010399046702,5525.57027027027,0.010144388094898963
553,-1.5840282026289827,5535.58018018018,0.010126083369236255
554,-1.5840553600067346,5545.590090090091,0.010107845089501528
555,-1.584082512074391,5555.6,0.01008967289494817
556,-1.5841096588681,5565.60990990991,0.010071566427439184
557,-1.5841368004237693,5575.61981981982,0.010053525331423594
558,-1.5841639367770217,5585.62972972973,0.01003554925391314
559,-1.5841910679632256,5595.639639639639,0.010017637844459158
560,-1.5842181940174733,5605.64954954955,0.009999790755129821
561,-1.5842453149745899,5615.65945945946,0.009982007640487527
562,-1.5842724308691654,5625.66936936937,0.009964288157566527
563,-1.5842995417355057,5635.679279279279,0.009946631965850909
564,-1.5843266476076925,5645.689189189189,0.009929038727252718
565,-1.5843537485195112,5655.699099099099,0.009911508106090223
566,-1.5843808445045509,5665.70900900901,0.009894039769066719
